Hour,SessionHostName,network_TotalConnections,network_SuccessRate,network_UniqueUsers,network_AvgRttMs,network_QueuedUsers,capacity_ActiveSessions,capacity_MaxSessionLimit,capacity_UtilizationPct,capacity_IsHealthy,fslogix_TotalEvents,fslogix_ErrorCount,hygiene_DisconnectEventCount,hygiene_AvgDisconnectedSessionDurationMinutes,hygiene_MaxDisconnectedSessionDurationMinutes,RTT,HeartbeatGap,QueuedUsers,FSLogixErrors,DiskFreePercent,TempCacheGB,DisconnectedSessions,SourceHasRTT,SourceHasHeartbeatGap,SourceHasQueuedUsers,SourceHasDisk,anomaly,IsAnomaly,AnomalyScore
2026-01-15 18:00:00+00:00,sghv-artr02-94.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,1.6666666666666667,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-95.BC.JSPLC.NET,4.0,0.25,1.0,,0.0,0.875,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-96.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,1.2666666666666666,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-97.BC.JSPLC.NET,,,,,,1.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 19:00:00+00:00,Client,,,,,,,,,,,,5.0,,,50.0,0.0,0.0,0.0,50.0,0.0,5.0,0,0,0,0,-1,True,0.6953196480471433
2026-01-15 19:00:00+00:00,sghv-artr02-100.BC.JSPLC.NET,3.0,0.3333333333333333,1.0,,0.0,1.925,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 19:00:00+00:00,sghv-artr02-101.BC.JSPLC.NET,,,,,,1.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 19:00:00+00:00,sghv-artr02-102.BC.JSPLC.NET,3.0,0.3333333333333333,1.0,,0.0,0.9833333333333332,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 19:00:00+00:00,sghv-artr02-103.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,0.775,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 19:00:00+00:00,sghv-artr02-104.BC.JSPLC.NET,,,,,,1.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
