Hour,SessionHostName,network_TotalConnections,network_SuccessRate,network_UniqueUsers,network_AvgRttMs,network_QueuedUsers,capacity_ActiveSessions,capacity_MaxSessionLimit,capacity_UtilizationPct,capacity_IsHealthy,fslogix_TotalEvents,fslogix_ErrorCount,hygiene_DisconnectEventCount,hygiene_AvgDisconnectedSessionDurationMinutes,hygiene_MaxDisconnectedSessionDurationMinutes,RTT,HeartbeatGap,QueuedUsers,FSLogixErrors,DiskFreePercent,TempCacheGB,DisconnectedSessions,SourceHasRTT,SourceHasHeartbeatGap,SourceHasQueuedUsers,SourceHasDisk,anomaly,IsAnomaly,AnomalyScore,avg_rtt,tcp_fallback_count,heartbeat_gap,queued_users,login_failures,fslogix_errors,disk_free,temp_profile_cache,disconnected_sessions,client_version,network_issue,session_host_issue,capacity_issue,fslogix_issue,disk_issue,hygiene_issue,client_issue,has_issue
2026-01-30 05:00:00+00:00,Client,,,,,,,,,,1.0,1.0,8.0,,,50.0,0.0,0.0,1.0,50.0,0.0,8.0,0,0,0,0,-1,True,0.7627882227610837,,0.0,,0.0,0.0,1.0,,0.0,8.0,,False,False,False,True,False,False,False,True
2026-01-30 07:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
2026-01-30 08:00:00+00:00,Client,,,,,,,,,,1.0,1.0,11.0,,,50.0,0.0,0.0,1.0,50.0,0.0,11.0,0,0,0,0,-1,True,0.784775005384648,,0.0,,0.0,0.0,1.0,,0.0,11.0,,False,False,False,True,False,False,False,True
2026-01-30 10:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
2026-01-30 13:00:00+00:00,Client,,,,,,,,,,1.0,1.0,31.0,,,50.0,0.0,0.0,1.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.840964277055732,,0.0,,0.0,0.0,1.0,,0.0,31.0,,False,False,False,True,False,True,False,True
2026-02-02 04:00:00+00:00,Client,,,,,,,,,,1.0,1.0,17.0,,,50.0,0.0,0.0,1.0,50.0,0.0,17.0,0,0,0,0,-1,True,0.7961166264899622,,0.0,,0.0,0.0,1.0,,0.0,17.0,,False,False,False,True,False,False,False,True
2026-02-02 05:00:00+00:00,Client,,,,,,,,,,,,35.0,,,50.0,0.0,0.0,0.0,50.0,0.0,35.0,0,0,0,0,-1,True,0.8223958380295531,,0.0,,0.0,0.0,0.0,,0.0,35.0,,False,False,False,False,False,True,False,True
2026-02-02 06:00:00+00:00,Client,,,,,,,,,,1.0,1.0,20.0,,,50.0,0.0,0.0,1.0,50.0,0.0,20.0,0,0,0,0,-1,True,0.8015213056792482,,0.0,,0.0,0.0,1.0,,0.0,20.0,,False,False,False,True,False,False,False,True
2026-02-02 07:00:00+00:00,Client,,,,,,,,,,,,33.0,,,50.0,0.0,0.0,0.0,50.0,0.0,33.0,0,0,0,0,-1,True,0.8196184297215438,,0.0,,0.0,0.0,0.0,,0.0,33.0,,False,False,False,False,False,True,False,True
2026-02-02 13:00:00+00:00,Client,,,,,,,,,,1.0,1.0,31.0,,,50.0,0.0,0.0,1.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.840964277055732,,0.0,,0.0,0.0,1.0,,0.0,31.0,,False,False,False,True,False,True,False,True
